[1772590112] [apply_action] freq=500 Hz, last_dt=2006 us
[1772590113] [apply_action] freq=501 Hz, last_dt=2034 us
[1772590114] [apply_action] freq=500 Hz, last_dt=2047 us
[1772590115] [apply_action] freq=500 Hz, last_dt=2064 us
[1772590116] [apply_action] freq=501 Hz, last_dt=1976 us
[1772590117] [apply_action] freq=501 Hz, last_dt=1987 us
[1772590118] [apply_action] freq=500 Hz, last_dt=1997 us
[1772590119] [apply_action] freq=500 Hz, last_dt=1993 us
[1772590120] [apply_action] freq=501 Hz, last_dt=1982 us
[1772590121] [apply_action] freq=500 Hz, last_dt=2019 us
[1772590122] [apply_action] freq=501 Hz, last_dt=2054 us
[1772590123] [apply_action] freq=501 Hz, last_dt=1987 us
[1772590124] [apply_action] freq=500 Hz, last_dt=2029 us
[1772590125] [apply_action] freq=501 Hz, last_dt=2017 us
[1772590126] [apply_action] freq=501 Hz, last_dt=2004 us
[1772590127] [apply_action] freq=501 Hz, last_dt=2016 us
[1772590128] [apply_action] freq=501 Hz, last_dt=2000 us
[1772590129] [apply_action] freq=500 Hz, last_dt=2001 us
[1772590130] [apply_action] freq=500 Hz, last_dt=1998 us
[1772590131] [apply_action] freq=501 Hz, last_dt=2035 us
[1772590132] [apply_action] freq=500 Hz, last_dt=1886 us
[1772590133] [apply_action] freq=501 Hz, last_dt=1986 us
[1772590134] [apply_action] freq=500 Hz, last_dt=1995 us
[1772590135] [apply_action] freq=501 Hz, last_dt=2022 us
[1772590136] [apply_action] freq=501 Hz, last_dt=1993 us
[1772590137] [apply_action] freq=500 Hz, last_dt=1962 us
[1772590138] [apply_action] freq=501 Hz, last_dt=1986 us
[1772590139] [apply_action] freq=500 Hz, last_dt=1993 us
[1772590140] [apply_action] freq=500 Hz, last_dt=1990 us
[1772590141] [apply_action] freq=500 Hz, last_dt=2041 us
[1772590142] [apply_action] freq=501 Hz, last_dt=1998 us
[1772590143] [apply_action] freq=501 Hz, last_dt=2016 us
[1772590144] [apply_action] freq=500 Hz, last_dt=2007 us
[1772590145] [apply_action] freq=501 Hz, last_dt=2007 us
[1772590146] [apply_action] freq=501 Hz, last_dt=2003 us
[1772590147] [apply_action] freq=501 Hz, last_dt=1990 us
[1772590148] [apply_action] freq=501 Hz, last_dt=2040 us
[1772590149] [apply_action] freq=501 Hz, last_dt=1962 us
[1772590150] [apply_action] freq=500 Hz, last_dt=1919 us
[1772590151] [apply_action] freq=500 Hz, last_dt=2004 us
